,title,price,type,men's item,link
44,beautiful pair of cubic zirconia earrings,15,earrings,False,https://washingtondc.craigslist.org/nva/jwl/d/nokesville-beautiful-pair-of-cubic/7787954062.html
45,new - 26 assorted bead necklace,6,necklace,False,https://washingtondc.craigslist.org/mld/jwl/d/gaithersburg-new-26-assorted-bead/7788757231.html
46,rado diastar swiss made,325,other,False,https://washingtondc.craigslist.org/mld/jwl/d/bethesda-rado-diastar-swiss-made/7788754743.html
47,elgin gold plated pocket watch,50,watch,False,https://washingtondc.craigslist.org/mld/jwl/d/rockville-elgin-gold-plated-pocket-watch/7788753545.html
48,precious boxed gemstone liquidation-still a few left,0,other,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-precious-boxed-gemstone/7788747297.html
49,"neckace w/swarovski crystals, new",15,other,False,https://washingtondc.craigslist.org/mld/jwl/d/rockville-neckace-swarovski-crystals-new/7784566393.html
50,jewelry,5,other,False,https://washingtondc.craigslist.org/mld/jwl/d/bethesda-jewelry/7780994348.html
51,fancy silver horse charm,20,other,False,https://washingtondc.craigslist.org/nva/jwl/d/springfield-fancy-silver-horse-charm/7788744544.html
52,watch jean cardot,50,watch,False,https://washingtondc.craigslist.org/nva/jwl/d/arlington-watch-jean-cardot/7786759486.html
53,"brand new silver plated pendant necklace - 32"" long",10,pendant,False,https://washingtondc.craigslist.org/mld/jwl/d/gaithersburg-brand-new-silver-plated/7788739601.html
54,"new three strand necklace 32"" long -",9,necklace,False,https://washingtondc.craigslist.org/mld/jwl/d/gaithersburg-new-three-strand-necklace/7788739448.html
55,"new gold plated two strand necklace 32"" long",10,necklace,False,https://washingtondc.craigslist.org/mld/jwl/d/gaithersburg-new-gold-plated-two-strand/7788739316.html
56,"new - gold plated necklace 38"" long",9,necklace,False,https://washingtondc.craigslist.org/mld/jwl/d/gaithersburg-new-gold-plated-necklace/7788739195.html
57,maple jewelry box from bombay company,40,other,False,https://washingtondc.craigslist.org/doc/jwl/d/gaithersburg-maple-jewelry-box-from/7784645139.html
58,jewelry or watch box with 24 slots,45,watch,False,https://washingtondc.craigslist.org/doc/jwl/d/gaithersburg-jewelry-or-watch-box-with/7784645129.html
59,jewelry box,10,other,False,https://washingtondc.craigslist.org/nva/jwl/d/fairfax-jewelry-box/7781021397.html
60,estate sale women's watch collection,175,watch,True,https://washingtondc.craigslist.org/nva/jwl/d/falls-church-estate-sale-womens-watch/7780255578.html
61,watch -beautiful dooney & bourke/leather strap - brand new battery!,50,watch,False,https://washingtondc.craigslist.org/mld/jwl/d/bethesda-watch-beautiful-dooney-bourke/7782858115.html
62,new in box speidel men’s watch,30,watch,True,https://washingtondc.craigslist.org/nva/jwl/d/reston-new-in-box-speidel-mens-watch/7784780438.html
63,oakley gmt stainless white face watch wristwatch time piece,600,watch,False,https://washingtondc.craigslist.org/nva/jwl/d/manassas-oakley-gmt-stainless-white/7780530307.html
64,oakley black stealth stainless wrist watch gmt wristwatch time piece,600,watch,False,https://washingtondc.craigslist.org/nva/jwl/d/manassas-oakley-black-stealth-stainless/7780530169.html
65,vintage jewelry set,0,other,False,https://washingtondc.craigslist.org/nva/jwl/d/falls-church-vintage-jewelry-set/7780207018.html
66,custom made opal necklace in platinum,0,necklace,False,https://washingtondc.craigslist.org/nva/jwl/d/falls-church-custom-made-opal-necklace/7783419951.html
67,jewelry making stuff,0,other,False,https://washingtondc.craigslist.org/nva/jwl/d/falls-church-jewelry-making-stuff/7786083157.html
68,14k white gold men's wedding band- newly purchased,1200,other,True,https://washingtondc.craigslist.org/nva/jwl/d/culpeper-14k-white-gold-mens-wedding/7780945023.html
69,men’s swiss watch,420,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/rockville-mens-swiss-watch/7787473334.html
70,mens watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/rockville-mens-watch/7787475057.html
71,new men's watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-new-mens-watch/7782443243.html
72,new men's watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-new-mens-watch/7780487369.html
73,men’s new watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-mens-new-watch/7780529092.html
74,men's swiss watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/rockville-mens-swiss-watch/7781737195.html
75,men’s swiss watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-mens-swiss-watch/7779973491.html
76,new men's watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-new-mens-watch/7780487273.html
77,mens watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/rockville-mens-watch/7786811241.html
78,men's swiss watch (skeleton),460,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/rockville-mens-swiss-watch-skeleton/7780967873.html
79,men’s swiss watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-mens-swiss-watch/7783661920.html
80,jewelry box,20,other,False,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-jewelry-box/7783069470.html
81,rolex 6917 18k/ss with diamond,3795,other,False,https://washingtondc.craigslist.org/mld/jwl/d/potomac-rolex-ss-with-diamond/7788679362.html
82,fitbit sense watch bands,10,watch,False,https://washingtondc.craigslist.org/nva/jwl/d/herndon-fitbit-sense-watch-bands/7786402985.html
83,misc. vintage jewlry,0,other,False,https://washingtondc.craigslist.org/nva/jwl/d/falls-church-misc-vintage-jewlry/7783082643.html
84,new zudo ayatul kursi necklace,25,necklace,False,https://washingtondc.craigslist.org/nva/jwl/d/falls-church-new-zudo-ayatul-kursi/7785769211.html
85,brand new crystal pendant necklace,10,pendant,False,https://washingtondc.craigslist.org/mld/jwl/d/gaithersburg-brand-new-crystal-pendant/7784809943.html
86,brand new watch-pandora genuine leather wristwatch,90,other,False,https://washingtondc.craigslist.org/mld/jwl/d/montgomery-village-brand-new-watch/7780998547.html
87,14k diamond ring and band / rings,300,ring,False,https://washingtondc.craigslist.org/mld/jwl/d/gaithersburg-14k-diamond-ring-and-band/7787178081.html
88,whiteflash a cut above ags 2.73ct vvs h diamond engagement ring gia,46999,ring,True,https://washingtondc.craigslist.org/nva/jwl/d/fairfax-whiteflash-cut-above-ags-273ct/7788624901.html
89,his/hers or his/his engagement ring,300,ring,True,https://washingtondc.craigslist.org/doc/jwl/d/washington-his-hers-or-his-his/7781830781.html
90,"@ neckless, bracelet, earrings @",9,earrings,False,https://washingtondc.craigslist.org/nva/jwl/d/neckless-bracelet-earrings/7788610465.html
91,"ring, vintage tigers eye and silver",140,other,False,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-ring-vintage-tigers-eye/7784662262.html
92,new-bee kind-you are my sunshine necklace,10,necklace,False,https://washingtondc.craigslist.org/nva/jwl/d/gainesville-new-bee-kind-you-are-my/7784281185.html
93,fun flower earrings,8,earrings,False,https://washingtondc.craigslist.org/nva/jwl/d/fairfax-fun-flower-earrings/7788599677.html
94,thin silver-tone necklace & matching bracelet,15,necklace,False,https://washingtondc.craigslist.org/nva/jwl/d/fairfax-thin-silver-tone-necklace/7788599503.html
95,new! rare! safi kilima necklace + tanzanite pendant,0,necklace,False,https://washingtondc.craigslist.org/mld/jwl/d/gaithersburg-new-rare-safi-kilima/7782725839.html
96,men’s fossil twist arkitekt automatic black wrist watch,100,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/manassas-mens-fossil-twist-arkitekt/7784021333.html
97,garnet silver pendant,45,pendant,False,https://washingtondc.craigslist.org/nva/jwl/d/herndon-garnet-silver-pendant/7782915233.html
98,sonic the hedgehog x king ice - dark chao necklace,125,necklace,False,https://washingtondc.craigslist.org/nva/jwl/d/reston-sonic-the-hedgehog-king-ice-dark/7784158221.html
99,custom gorgeous vintage 18k gold seven white australian opal diamond  ring,2000,ring,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-custom-gorgeous-vintage-18k/7788557190.html
100,vintage 14k ring setting,300,ring,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-vintage-14k-ring-setting/7788556721.html
101,18k gold anklet,300,other,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-18k-gold-anklet/7788556429.html
102,pair of 14k gold hoop earrings,600,earrings,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-pair-of-14k-gold-hoop/7788554547.html
103,2003 tag heuer autavia automatic chronograph men's watch,4000,watch,True,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-2003-tag-heuer-autavia/7788553145.html
104,custom stunning 14k gold ring white australian white opal w 4 diamonds 6 rubies,5000,ring,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-custom-stunning-14k-gold/7788522329.html
105,14k gold necklace with single diamond pendant,250,necklace,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-14k-gold-necklace-with/7788521940.html
106,"lovely 14k gold necklace with pearls, heart pendant",300,necklace,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-lovely-14k-gold-necklace/7788521674.html
107,rolex daydate 40mm 18k white gold recent model,40000,other,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-rolex-daydate-40mm-18k-white/7788521223.html
108,custom sterling silver peacock ring with treated rainbow aura kyanite,1000,ring,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-custom-sterling-silver/7788519805.html
109,14k yellow gold bangle,400,other,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-14k-yellow-gold-bangle/7788519461.html
110,"for sale: 2 beautiful, automatic sweep swiss movement stunning watches",100,other,True,https://washingtondc.craigslist.org/doc/jwl/d/rockville-for-sale-beautiful-automatic/7788511534.html
111,candle holder set of 2,20,other,False,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-candle-holder-set-of/7788486207.html
112,men’s swiss watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-mens-swiss-watch/7780947431.html
113,18k gold necklace (17.37 grams),3000,necklace,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-18k-gold-necklace-1737-grams/7788484108.html
114,new men's watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-new-mens-watch/7782326495.html
115,new men's watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-new-mens-watch/7780908409.html
116,jewelry box,20,other,False,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-jewelry-box/7783471803.html
117,new watch,360,watch,False,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-new-watch/7780911616.html
118,men’s swiss watch,460,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-mens-swiss-watch/7785455952.html
119,new men's watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-new-mens-watch/7782326749.html
120,new men's watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-new-mens-watch/7780908771.html
121,men’s swiss watch,460,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-mens-swiss-watch/7780964202.html
122,new men's watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-new-mens-watch/7782330269.html
123,custom beautiful platinum necklace australian black opal and diamond,3000,necklace,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-custom-beautiful-platinum/7788478985.html
124,custom carved 14k yellow gold jade drop earrings,300,earrings,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-custom-carved-14k-yellow/7788478373.html
125,men’s swiss watch,450,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-mens-swiss-watch/7786058068.html
126,men's swiss watch (skeleton),460,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/rockville-mens-swiss-watch-skeleton/7780729071.html
127,omega de ville watch,400,watch,False,https://washingtondc.craigslist.org/nva/jwl/d/vienna-omega-de-ville-watch/7783184562.html
128,vintage signed navaho sterling pendant,50,pendant,False,https://washingtondc.craigslist.org/mld/jwl/d/rockville-vintage-signed-navaho/7784307309.html
129,"vtg ""925 italy"" - cubic zirconia/ sterling silver pendant necklace 19""",20,pendant,False,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-vtg-925-italy-cubic/7780935342.html
130,diamond accent sterling silver bracelet,75,bracelet,False,https://washingtondc.craigslist.org/nva/jwl/d/manassas-diamond-accent-sterling-silver/7782005113.html
131,fossil men's watch model bq2196,49,watch,True,https://washingtondc.craigslist.org/nva/jwl/d/falls-church-fossil-mens-watch-model/7780835308.html
132,bracelet set,12,bracelet,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-bracelet-set/7784972226.html
133,sterling silver pendants,20,other,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-sterling-silver-pendants/7784976742.html
134,felt cat key chains,3,other,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-felt-cat-key-chains/7784975354.html
135,sterling silver earrings,15,earrings,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-sterling-silver-earrings/7784840218.html
136,black earrings,12,earrings,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-black-earrings/7784840519.html
137,variety of fashion earrings,8,earrings,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-variety-of-fashion-earrings/7784971979.html
138,beautiful wood jewelry box,30,other,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-beautiful-wood-jewelry-box/7786270914.html
139,earrings,15,earrings,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-earrings/7785409617.html
140,variety of earrings,10,earrings,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-variety-of-earrings/7785409404.html
141,earrings bracelet set,20,earrings,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-earrings-bracelet-set/7785018330.html
142,set of rings,10,other,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-set-of-rings/7785017742.html
143,trio of bracelets,15,other,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-trio-of-bracelets/7785405404.html
144,bracelet set,15,bracelet,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-bracelet-set/7785042224.html
145,variety of necklaces,10,other,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-variety-of-necklaces/7785041626.html
146,bracelets,10,other,False,https://washingtondc.craigslist.org/doc/jwl/d/washington-bracelets/7785041910.html
147,beautiful two white opal 14k yellow gold ring size 6,3000,ring,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-beautiful-two-white-opal-14k/7788450987.html
148,14k white gold earrings with black opals and diamonds,3000,earrings,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-14k-white-gold-earrings-with/7788450798.html
149,men’s bulova stainless steel wrist watch,150,watch,True,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-mens-bulova-stainless-steel/7788450744.html
150,elk horn knife handle,10,other,False,https://washingtondc.craigslist.org/nva/jwl/d/annandale-elk-horn-knife-handle/7786462108.html
151,vintage avon collection,120,other,False,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-vintage-avon-collection/7786095804.html
152,"brand new - pendant necklace on 18"" gold plated chain",10,pendant,False,https://washingtondc.craigslist.org/mld/jwl/d/gaithersburg-brand-new-pendant-necklace/7788437787.html
153,omega sea master,595,other,False,https://washingtondc.craigslist.org/mld/jwl/d/dunkirk-omega-sea-master/7788428890.html
154,raymond weil maestro 2737-stc-30011,895,other,False,https://washingtondc.craigslist.org/mld/jwl/d/dunkirk-raymond-weil-maestro-2737-stc/7788427824.html
155,looney tunes taz armitron 1996 acme taz tasmanian devil pocket watch,49,watch,False,https://washingtondc.craigslist.org/mld/jwl/d/dunkirk-looney-tunes-taz-armitron-1996/7788425573.html
156,fine jewelry diamonds and rubies,2000,other,False,https://washingtondc.craigslist.org/nva/jwl/d/woodbridge-fine-jewelry-diamonds-and/7780573461.html
157,fossil gene autry collectors watch,75,watch,False,https://washingtondc.craigslist.org/mld/jwl/d/dunkirk-fossil-gene-autry-collectors/7788422431.html
158,antique gruen 17 jewel pocket watch,195,watch,False,https://washingtondc.craigslist.org/mld/jwl/d/dunkirk-antique-gruen-17-jewel-pocket/7788421785.html
159,1928 14k gold filled waltham 17 jewel pocket watch,295,watch,False,https://washingtondc.craigslist.org/mld/jwl/d/dunkirk-gold-filled-waltham-17-jewel/7788421354.html
160,new watch,360,watch,False,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-new-watch/7780815132.html
161,men’s new watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-mens-new-watch/7785308806.html
162,new men's watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-new-mens-watch/7780722882.html
163,wrist watches,20,other,False,https://washingtondc.craigslist.org/nva/jwl/d/arlington-wrist-watches/7780224051.html
164,gucci wrist watch,100,watch,False,https://washingtondc.craigslist.org/nva/jwl/d/arlington-gucci-wrist-watch/7784042688.html
165,new/never worn 'c wonder' women's rose gold tone  metal watch,15,watch,True,https://washingtondc.craigslist.org/nva/jwl/d/arlington-new-never-worn-wonder-womens/7781322279.html
166,fun earrings,20,earrings,False,https://washingtondc.craigslist.org/nva/jwl/d/arlington-fun-earrings/7788401935.html
167,labradorite ring,50,ring,False,https://washingtondc.craigslist.org/nva/jwl/d/fairfax-station-labradorite-ring/7785425371.html
168,anna greta eker sterling ring norway,200,ring,False,https://washingtondc.craigslist.org/mld/jwl/d/riverdale-anna-greta-eker-sterling-ring/7785456065.html
169,ann hand u.s. great seal brooch crystals,45,other,False,https://washingtondc.craigslist.org/mld/jwl/d/riverdale-ann-hand-us-great-seal-brooch/7786894363.html
170,centipede brooch winard gold filled,35,other,False,https://washingtondc.craigslist.org/mld/jwl/d/hyattsville-centipede-brooch-winard/7787779109.html
171,"omega and swatch collaboration ""moonwatch"" collection watches",350,other,False,https://washingtondc.craigslist.org/nva/jwl/d/ashburn-omega-and-swatch-collaboration/7781343757.html
172,"vintage frosted acrylic necklace & earrings display 4 1/2"" tall",20,necklace,False,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-vintage-frosted-acrylic/7785451150.html
173,still 4 nice boxed precious gemstones left for sale- make jewelery!,0,other,False,https://washingtondc.craigslist.org/nva/jwl/d/alexandria-still-nice-boxed-precious/7784359794.html
174,"vintage frosted acrylic necklace display 5 3/4"" tall",15,necklace,False,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-vintage-frosted-acrylic/7785448824.html
175,2 silver ladies rings....,15,other,False,https://washingtondc.craigslist.org/nva/jwl/d/reston-silver-ladies-rings/7786933979.html
176,mens watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/rockville-mens-watch/7788348337.html
177,"apple watch series 5, 44mm case",150,watch,False,https://washingtondc.craigslist.org/nva/jwl/d/herndon-apple-watch-series-44mm-case/7788347272.html
178,open belt ring,225,ring,False,https://washingtondc.craigslist.org/mld/jwl/d/washington-open-belt-ring/7786192315.html
179,wide cuff ring,225,ring,False,https://washingtondc.craigslist.org/mld/jwl/d/washington-wide-cuff-ring/7786189043.html
180,unique cocktail ring,400,ring,False,https://washingtondc.craigslist.org/mld/jwl/d/washington-unique-cocktail-ring/7786186969.html
181,gold 3 barrell custom ring,200,ring,False,https://washingtondc.craigslist.org/mld/jwl/d/washington-gold-barrell-custom-ring/7786184022.html
182,jewelry (bracelet/watch) display stands,30,other,False,https://washingtondc.craigslist.org/mld/jwl/d/washington-jewelry-bracelet-watch/7785901740.html
183,jewelry (necklace) displays,20,other,False,https://washingtondc.craigslist.org/mld/jwl/d/washington-jewelry-necklace-displays/7785899295.html
184,men’s swiss watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-mens-swiss-watch/7785870267.html
185,new men's watch,360,watch,True,https://washingtondc.craigslist.org/mld/jwl/d/silver-spring-new-mens-watch/7783319061.html
186,studio underd0g watermel0n watch,900,watch,False,https://washingtondc.craigslist.org/nva/jwl/d/vienna-studio-underd0g-watermel0n-watch/7786810492.html
187,"special mint set ""sms"" 1967 quarter",4400,other,False,https://washingtondc.craigslist.org/doc/jwl/d/west-palm-beach-special-mint-set-sms/7785953403.html
188,brand new 3 different brooches/pins....,4,other,False,https://washingtondc.craigslist.org/nva/jwl/d/herndon-brand-new-different-brooches/7788281057.html
189,turquoise dangle earrings,10,earrings,False,https://washingtondc.craigslist.org/nva/jwl/d/vienna-turquoise-dangle-earrings/7779613938.html
190,gold star dangle earrings 14/20 gf,50,earrings,False,https://washingtondc.craigslist.org/nva/jwl/d/vienna-gold-star-dangle-earrings-gf/7779613973.html
191,sterling silver unicorn pendant with crystal,15,pendant,False,https://washingtondc.craigslist.org/nva/jwl/d/vienna-sterling-silver-unicorn-pendant/7779612695.html
192,figure skate charm,5,other,False,https://washingtondc.craigslist.org/nva/jwl/d/vienna-figure-skate-charm/7779843212.html
193,1/20 14k gold pendent/charm virgin mary,15,other,False,https://washingtondc.craigslist.org/nva/jwl/d/vienna-gold-pendent-charm-virgin-mary/7779629148.html
194,crystal pendant with ruby.,10,pendant,False,https://washingtondc.craigslist.org/nva/jwl/d/vienna-crystal-pendant-with-ruby/7779738207.html
195,sterling silver volleyball pendant/charm,10,other,False,https://washingtondc.craigslist.org/nva/jwl/d/vienna-sterling-silver-volleyball/7779738320.html
196,sterling silver basketball pendant/charm,10,other,False,https://washingtondc.craigslist.org/nva/jwl/d/vienna-sterling-silver-basketball/7779739725.html
